miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-miR-451	9256	colorectal cancer	down-regulated	"northern blot, qRT-PCR etc"	" Down-regulation of miR-451 was associated with worse prognosis. miR-451 was detected by in situ hybridization in epithelial cells and showed decreased expression in gastric and colorectal cancer versus nontumoral tissues. Overexpression of miR-451 in gastric and colorectal cancer cells reduced cell proliferation and increased sensitivity to radiotherapy. Microarray and bioinformatic analysis identified the novel oncogene macrophage migration inhibitory factor (MIF) as a potential target of miR-451. In fact, overexpression of miR-451 down-regulated mRNA and protein levels of MIF and decreased expression of reporter genes with MIF target sequences. Moreover, we found a significant inverse correlation between miR-451 and MIF expression in tumoral gastric biopsies. CONCLUSIONS: These findings support the role of miR-451 as a regulator of cancer proliferation and open new perspectives for the development of effective therapies for chemoradioresistant cancers."	MIF	unknown	2009	19318487	causal
hsa-miR-7	3905	lung cancer	down-regulated	"northern blot, qRT-PCR etc"	"The epidermal growth factor receptor (EGFR) is frequently overexpressed in cancer and is an important therapeutic target. Aberrant expression and function of microRNAs have been associated with tumorigenesis. Bioinformatic predictions suggest that the human EGFR mRNA 3'-untranslated region contains three microRNA-7 (miR-7) target sites, which are not conserved across mammals. We found that miR-7 down-regulates EGFR mRNA and protein expression in cancer cell lines (lung, breast, and glioblastoma) via two of the three sites, inducing cell cycle arrest and cell death. Because miR-7 was shown to decrease EGFR mRNA expression, we used microarray analysis to identify additional mRNA targets of miR-7. These included Raf1 and multiple other genes involved in EGFR signaling and tumorigenesis. Furthermore, miR-7 attenuated activation of protein kinase B (Akt) and extracellular signal-regulated kinase 1/2, two critical effectors of EGFR signaling, in different cancer cell lines. These data establish an important role for miR-7 in controlling mRNA expression and indicate that miR-7 has the ability to coordinately regulate EGFR signaling in multiple human cancer cell types."	EGFR	unknown	2009	19073608	causal
hsa-miR-1 	5520	head and neck squamous cell carcinoma (HNSCC)	down-regulated	"northern blot, qRT-PCR etc"	"The majority of miRNAs exhibiting altered expression in primary human HNSCC tumors (including miR-1, miR-133a, miR-205, and let-7d) show lower expression levels relative to normal adjacent tissue. In contrast, hsa-miR-21 is frequently overexpressed in human HNSCC tumors."	unknown	"GJA1,Hand2,HDAC4,TMSB4X"	2009	19179615	unspecified
hsa-miR-7	3459	breast cancer	down-regulated	"northern blot, qRT-PCR etc"	"The epidermal growth factor receptor (EGFR) is frequently overexpressed in cancer and is an important therapeutic target. Aberrant expression and function of microRNAs have been associated with tumorigenesis. Bioinformatic predictions suggest that the human EGFR mRNA 3'-untranslated region contains three microRNA-7 (miR-7) target sites, which are not conserved across mammals. We found that miR-7 down-regulates EGFR mRNA and protein expression in cancer cell lines (lung, breast, and glioblastoma) via two of the three sites, inducing cell cycle arrest and cell death. Because miR-7 was shown to decrease EGFR mRNA expression, we used microarray analysis to identify additional mRNA targets of miR-7. These included Raf1 and multiple other genes involved in EGFR signaling and tumorigenesis. Furthermore, miR-7 attenuated activation of protein kinase B (Akt) and extracellular signal-regulated kinase 1/2, two critical effectors of EGFR signaling, in different cancer cell lines. These data establish an important role for miR-7 in controlling mRNA expression and indicate that miR-7 has the ability to coordinately regulate EGFR signaling in multiple human cancer cell types."	EGFR	unknown	2009	19073608	causal
hsa-miR-7	3068	glioblastoma	down-regulated	"northern blot, qRT-PCR etc"	"The epidermal growth factor receptor (EGFR) is frequently overexpressed in cancer and is an important therapeutic target. Aberrant expression and function of microRNAs have been associated with tumorigenesis. Bioinformatic predictions suggest that the human EGFR mRNA 3'-untranslated region contains three microRNA-7 (miR-7) target sites, which are not conserved across mammals. We found that miR-7 down-regulates EGFR mRNA and protein expression in cancer cell lines (lung, breast, and glioblastoma) via two of the three sites, inducing cell cycle arrest and cell death. Because miR-7 was shown to decrease EGFR mRNA expression, we used microarray analysis to identify additional mRNA targets of miR-7. These included Raf1 and multiple other genes involved in EGFR signaling and tumorigenesis. Furthermore, miR-7 attenuated activation of protein kinase B (Akt) and extracellular signal-regulated kinase 1/2, two critical effectors of EGFR signaling, in different cancer cell lines. These data establish an important role for miR-7 in controlling mRNA expression and indicate that miR-7 has the ability to coordinately regulate EGFR signaling in multiple human cancer cell types."	EGFR	unknown	2009	19073608	causal
hsa-miR-92	9256	colorectal cancer	up-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	unknown	2009	19287964	unspecified
hsa-miR-93	5517	gastric cancer (stomach cancer)	up-regulated	"northern blot, qRT-PCR etc"	"Although it has been speculated that the miRNAs in the same cluster may play related biological functions, this has not been experimentally addressed. Here we report that the miRNAs in two clusters (miR-106b approximately 93 approximately 25 and miR-222 approximately 221) suppress the Cip/Kip family members of Cdk inhibitors (p57(Kip2), p21(Cip1) and p27(Kip1)). We show that miR-25 targets p57 through the 3'-UTR. Furthermore, miR-106b and miR-93 control p21 while miR-222 and miR-221 regulate both p27 and p57. Ectopic expression of these miRNAs results in activation of Cdk2 and facilitation of G1/S phase transition. Consistent with these results, both clusters are abnormally upregulated in gastric cancer tissues compared to the corresponding normal tissues. Ectopic expression of miR-222 cluster enhanced tumor growth in the mouse xenograft model. Our study demonstrates the functional associations between clustered miRNAs and further implicates that effective cancer treatment may require a combinatorial approach to target multiple oncogenic miRNA clusters."	p21	unknown	2009	19153141	causal
hsa-miR-96	10004	hearing loss	normal	"northern blot, qRT-PCR etc"	"Impaired miRNA target binding resulting from SNPs within mRNA target sites has been shown to lead to pathologies associated with dysregulated gene expression. However, no pathogenic mutations within the mature sequence of a miRNA have been reported so far. Here we show that point mutations in the seed region of miR-96, a miRNA expressed in hair cells of the inner ear, result in autosomal dominant, progressive hearing loss. This is the first study implicating a miRNA in a mendelian disorder. The identified mutations have a strong impact on miR-96 biogenesis and result in a significant reduction of mRNA targeting. We propose that these mutations alter the regulatory role of miR-96 in maintaining gene expression profiles in hair cells required for their normal function."	unknown	unknown	2009	19363479	causal
hsa-miR-17	3858	medulloblastoma	up-regulated	"northern blot, qRT-PCR etc"	"Profiling the expression of 427 mature microRNAs (miRNA) in a series of 90 primary human medulloblastomas revealed that components of the miR-17/92 polycistron are the most highly up-regulated miRNAs in medulloblastoma. Expression of miR-17/92 was highest in the subgroup of medulloblastomas associated with activation of the sonic hedgehog (Shh) signaling pathway compared with other subgroups of medulloblastoma. Medulloblastomas in which miR-17/92 was up-regulated also had elevated levels of MYC/MYCN expression. Consistent with its regulation by Shh, we observed that Shh treatment of primary cerebellar granule neuron precursors (CGNP), proposed cells of origin for the Shh-associated medulloblastomas, resulted in increased miR-17/92 expression. In CGNPs, the Shh effector N-myc, but not Gli1, induced miR-17/92 expression. Ectopic miR-17/92 expression in CGNPs synergized with exogenous Shh to increase proliferation and also enabled them to proliferate in the absence of Shh. We conclude that miR-17/92 is a positive effector of Shh-mediated proliferation and that aberrant expression/amplification of this miR confers a growth advantage to medulloblastomas"	unknown	unknown	2009	19351822	causal
hsa-miR-18a	3858	medulloblastoma	up-regulated	"northern blot, qRT-PCR etc"	"Profiling the expression of 427 mature microRNAs (miRNA) in a series of 90 primary human medulloblastomas revealed that components of the miR-17/92 polycistron are the most highly up-regulated miRNAs in medulloblastoma. Expression of miR-17/92 was highest in the subgroup of medulloblastomas associated with activation of the sonic hedgehog (Shh) signaling pathway compared with other subgroups of medulloblastoma. Medulloblastomas in which miR-17/92 was up-regulated also had elevated levels of MYC/MYCN expression. Consistent with its regulation by Shh, we observed that Shh treatment of primary cerebellar granule neuron precursors (CGNP), proposed cells of origin for the Shh-associated medulloblastomas, resulted in increased miR-17/92 expression. In CGNPs, the Shh effector N-myc, but not Gli1, induced miR-17/92 expression. Ectopic miR-17/92 expression in CGNPs synergized with exogenous Shh to increase proliferation and also enabled them to proliferate in the absence of Shh. We conclude that miR-17/92 is a positive effector of Shh-mediated proliferation and that aberrant expression/amplification of this miR confers a growth advantage to medulloblastomas"	unknown	unknown	2009	19351822	causal
